Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,IND,NBA,SF,28,226,0.425,17,0.425,0.225,0.1,0.075,0.025,0.575,0.588,0.556,0.5,1,0,0.304,0.4,0.714,0,0,0.522,0.25,0,0
2014-15,23,IND,NBA,SF,82,2381,0.396,12,0.672,0.352,0.142,0.084,0.095,0.328,0.43,0.502,0.333,0.377,0.35,0.327,0.35,0.971,0.06,30,0.346,0.375,1,0
2015-16,24,IND,NBA,SF,59,866,0.447,12.1,0.644,0.341,0.163,0.091,0.053,0.356,0.515,0.648,0.353,0.368,0.364,0.324,0.493,1,0.063,12,0.365,0.444,2,0
2016-17,25,NOP,NBA,SF,80,2374,0.383,16.3,0.435,0.276,0.077,0.048,0.029,0.565,0.428,0.523,0.27,0.304,0.214,0.348,0.348,1,0.044,17,0.341,0.37,2,0
2017-18,26,NOP,NBA,SF,12,187,0.268,16.4,0.488,0.195,0.244,0,0.049,0.512,0.35,0.625,0.1,,0.5,0.19,0.286,1,0.024,1,0.19,0.25,1,0
2018-19,27,NOP,NBA,SF,44,878,0.382,16.7,0.433,0.23,0.112,0.056,0.034,0.567,0.468,0.61,0.3,0.4,0.167,0.317,0.694,1,0.045,7,0.366,0.378,1,0
2019-20,28,TOT,NBA,PF,59,1088,0.396,18.2,0.385,0.147,0.147,0.032,0.058,0.615,0.439,0.463,0.415,0.333,0.5,0.368,0.553,0.921,0.018,4,0.246,0.452,0,0
2019-20,28,MEM,NBA,PF,48,901,0.412,18.4,0.369,0.146,0.133,0.034,0.056,0.631,0.465,0.5,0.419,0.375,0.538,0.381,0.625,0.929,0.021,4,0.252,0.459,0,0
2019-20,28,MIA,NBA,PF,11,187,0.311,17.2,0.467,0.156,0.222,0.022,0.067,0.533,0.333,0.286,0.4,0,0.333,0.292,0.143,0.857,0,0,0.208,0.4,0,0
2020-21,29,ATL,NBA,PF,71,1513,0.359,19,0.289,0.164,0.081,0.017,0.027,0.711,0.453,0.571,0.333,0.2,0.25,0.321,0.59,1,0.027,6,0.392,0.301,1,0
2021-22,30,ATL,NBA,SF,13,139,0.15,17.9,0.35,0.25,0.1,0,0,0.65,0.143,0.2,0,,,0.154,1,1,0,0,0.231,0.333,1,0
