Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,21,DET,NBA,PG,34,455,0.302,14.9,0.615,0.219,0.154,0.112,0.13,0.385,0.375,0.459,0.269,0.316,0.409,0.185,0.128,0.167,0.006,1,0.062,0.25,2,0
2015-16,22,DET,NBA,PG,12,159,0.352,9.9,0.815,0.333,0.185,0.148,0.13,0.185,0.409,0.611,0.1,0.375,0.429,0.1,0.111,0,0.019,1,0,,0,0
2016-17,23,BRK,NBA,PG,59,1334,0.444,13.6,0.666,0.295,0.156,0.132,0.089,0.334,0.478,0.584,0.362,0.325,0.556,0.376,0.229,0.579,0.023,7,0.188,0.474,1,0
2017-18,24,BRK,NBA,PG,80,2306,0.387,16.1,0.483,0.233,0.122,0.084,0.045,0.517,0.452,0.574,0.324,0.371,0.316,0.326,0.142,0.596,0.017,12,0.081,0.371,1,0
2018-19,25,BRK,NBA,PG,68,1914,0.442,14.4,0.553,0.281,0.185,0.064,0.023,0.447,0.528,0.648,0.399,0.453,0.316,0.335,0.165,0.556,0.021,15,0.168,0.403,5,1
2019-20,26,BRK,NBA,PG,64,1994,0.415,13.3,0.608,0.31,0.191,0.078,0.028,0.392,0.485,0.637,0.354,0.263,0.31,0.308,0.176,0.496,0.014,14,0.13,0.327,5,0
2020-21,27,BRK,NBA,SG,3,64,0.375,12.3,0.563,0.313,0.25,0,0,0.438,0.444,0.6,0.25,,,0.286,0.5,1,0.063,1,0.143,1,0,0
2021-22,28,TOT,NBA,PG,67,1980,0.416,15.6,0.551,0.176,0.237,0.088,0.05,0.449,0.479,0.643,0.402,0.446,0.324,0.339,0.201,0.536,0.007,3,0.182,0.367,1,0
2021-22,28,WAS,NBA,PG,44,1330,0.376,16.2,0.541,0.152,0.236,0.091,0.061,0.459,0.432,0.573,0.388,0.378,0.333,0.31,0.148,0.5,0.006,1,0.142,0.313,1,0
2021-22,28,DAL,NBA,PG,23,650,0.498,14.2,0.572,0.222,0.239,0.082,0.029,0.428,0.568,0.741,0.431,0.6,0.286,0.404,0.278,0.595,0.008,2,0.269,0.429,0,0
2022-23,29,TOT,NBA,"PG,SG",79,2725,0.438,15.7,0.533,0.186,0.206,0.092,0.05,0.467,0.498,0.646,0.417,0.423,0.423,0.369,0.118,0.602,0.021,17,0.182,0.506,1,0
2022-23,29,DAL,NBA,SG,53,1808,0.455,16,0.509,0.184,0.197,0.079,0.048,0.491,0.504,0.641,0.401,0.473,0.455,0.405,0.135,0.63,0.023,11,0.211,0.556,1,0
2022-23,29,BRK,NBA,PG,26,917,0.404,15,0.581,0.188,0.222,0.118,0.053,0.419,0.488,0.657,0.443,0.357,0.368,0.289,0.089,0.512,0.017,6,0.114,0.294,0,0
