Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,19,DET,NBA,SF,73,1687,0.375,13.2,0.658,0.255,0.173,0.117,0.113,0.342,0.41,0.569,0.308,0.357,0.265,0.307,0.346,0.889,0.02,10,0.4,0.378,3,0
2016-17,20,DET,NBA,SF,77,1371,0.353,17,0.578,0.123,0.151,0.129,0.175,0.422,0.398,0.644,0.255,0.511,0.266,0.292,0.345,0.933,0.008,3,0.253,0.359,2,0
2017-18,21,DET,NBA,SF,69,1894,0.375,14.8,0.582,0.22,0.157,0.084,0.121,0.418,0.439,0.659,0.227,0.34,0.382,0.286,0.371,0.97,0.023,10,0.303,0.282,3,0
2018-19,22,TOT,NBA,SF,66,1208,0.389,15.4,0.511,0.239,0.166,0.075,0.032,0.489,0.484,0.543,0.452,0.455,0.286,0.288,0.321,0.935,0.011,5,0.321,0.304,3,0
2018-19,22,DET,NBA,SF,48,961,0.381,15.8,0.481,0.226,0.16,0.074,0.02,0.519,0.488,0.544,0.482,0.385,0.286,0.282,0.317,0.961,0.011,4,0.32,0.293,1,0
2018-19,22,NOP,NBA,SF,18,247,0.418,13.8,0.626,0.286,0.187,0.077,0.077,0.374,0.474,0.538,0.353,0.714,0.286,0.324,0.333,0.818,0.011,1,0.324,0.364,2,0
2019-20,23,TOR,NBA,PF,25,150,0.373,14.2,0.593,0.305,0.169,0.051,0.068,0.407,0.429,0.611,0.3,0,0.25,0.292,0.133,0.429,0,0,0.333,0,1,0
2020-21,24,TOR,NBA,PF,61,1006,0.382,17.1,0.412,0.193,0.159,0.043,0.017,0.588,0.458,0.489,0.486,0.4,0,0.328,0.318,0.956,0.017,4,0.314,0.349,1,0
2021-22,25,LAL,NBA,PF,48,1094,0.466,13.7,0.582,0.243,0.215,0.088,0.036,0.418,0.575,0.738,0.37,0.682,0.444,0.314,0.548,0.939,0.008,2,0.39,0.244,0,0
2022-23,26,SAS,NBA,SF,30,469,0.533,12.1,0.672,0.262,0.287,0.098,0.025,0.328,0.573,0.688,0.514,0.417,0.667,0.45,0.468,0.944,0.016,2,0.35,0.571,1,0
