Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,OKC,NBA,C,81,1197,0.503,3.2,1,0.659,0.292,0.043,0.005,0,0.503,0.615,0.296,0.25,0,,0.613,,0.162,26,,,0,0
2014-15,21,OKC,NBA,C,70,1771,0.544,2.9,0.995,0.604,0.351,0.038,0.003,0.005,0.547,0.643,0.407,0.333,0,0,0.65,,0.213,72,0,,1,0
2015-16,22,OKC,NBA,C,80,2014,0.613,2.2,1,0.721,0.258,0.016,0.005,0,0.613,0.655,0.5,0.571,0.5,,0.762,,0.277,101,,,0,0
2016-17,23,OKC,NBA,C,80,2389,0.571,3.7,0.998,0.557,0.388,0.046,0.005,0.002,0.572,0.655,0.488,0.367,0,0,0.668,,0.198,112,0,,1,0
2017-18,24,OKC,NBA,C,76,2487,0.629,2.6,0.997,0.708,0.233,0.052,0.004,0.003,0.631,0.688,0.494,0.514,0,0,0.69,,0.242,150,0,,2,0
2018-19,25,OKC,NBA,C,80,2669,0.595,3.5,0.998,0.645,0.294,0.058,0,0.002,0.596,0.667,0.458,0.511,,0,0.642,,0.19,131,0,,2,0
2019-20,26,OKC,NBA,C,63,1680,0.592,4.4,0.994,0.513,0.397,0.082,0.002,0.006,0.594,0.743,0.416,0.513,1,0.333,0.67,1,0.176,78,0.333,0,1,1
2020-21,27,NOP,NBA,C,58,1605,0.614,3.9,0.99,0.646,0.276,0.068,0,0.01,0.62,0.693,0.494,0.429,,0,0.598,,0.182,51,0,,3,0
2021-22,28,MEM,NBA,C,76,1999,0.547,2.9,0.997,0.693,0.26,0.042,0.003,0.003,0.548,0.632,0.35,0.438,0,0,0.49,,0.143,48,0,,1,0
2022-23,29,MEM,NBA,C,42,1133,0.597,2.6,0.996,0.696,0.281,0.019,0,0.004,0.599,0.645,0.5,0.4,,0,0.503,,0.163,41,1,0,0,0
