Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2018-19,21,TOT,NBA,SF,42,440,0.329,19.3,0.364,0.157,0.057,0.043,0.107,0.636,0.333,0.455,0.125,0.333,0.267,0.326,0.706,0.966,0.021,2,0.247,0.364,0,0
2018-19,21,LAL,NBA,SF,39,420,0.333,19.4,0.356,0.152,0.061,0.045,0.098,0.644,0.362,0.5,0.125,0.333,0.308,0.318,0.706,0.963,0.015,2,0.247,0.333,0,0
2018-19,21,DET,NBA,SF,3,20,0.25,16.6,0.5,0.25,0,0,0.25,0.5,0,0,,,0,0.5,,1,0.125,0,0.25,1,0,0
2019-20,22,DET,NBA,SF,56,1265,0.41,19.5,0.296,0.173,0.094,0.017,0.012,0.704,0.425,0.571,0.184,0.286,0.4,0.404,0.529,0.939,0.025,9,0.218,0.419,3,1
2020-21,23,TOT,NBA,SF,66,1324,0.411,17.6,0.379,0.209,0.105,0.04,0.026,0.621,0.536,0.66,0.302,0.5,0.538,0.334,0.563,0.886,0.03,14,0.223,0.414,1,0
2020-21,23,DET,NBA,SF,36,634,0.377,20.6,0.233,0.13,0.072,0.018,0.013,0.767,0.519,0.655,0.313,0.25,0.667,0.333,0.63,0.895,0,0,0.152,0.308,0,0
2020-21,23,OKC,NBA,SF,30,690,0.438,15.3,0.495,0.272,0.131,0.057,0.035,0.505,0.543,0.662,0.297,0.563,0.5,0.336,0.539,0.875,0.053,14,0.308,0.477,1,0
2021-22,24,TOR,NBA,SF,56,716,0.389,17,0.427,0.218,0.098,0.06,0.051,0.573,0.5,0.588,0.522,0.286,0.333,0.306,0.54,0.951,0.038,7,0.299,0.4,0,0
2022-23,25,TOT,NBA,SF,32,468,0.445,17.2,0.428,0.208,0.104,0.064,0.052,0.572,0.473,0.667,0.167,0.455,0.333,0.424,0.543,0.833,0.029,5,0.354,0.429,0,0
2022-23,25,NYK,NBA,SF,13,40,0.5,22,0.167,0,0.167,0,0,0.833,0,,0,,,0.6,,1,0,0,0.3,0.667,0,0
2022-23,25,CHO,NBA,SF,19,428,0.441,16.8,0.447,0.224,0.099,0.068,0.056,0.553,0.486,0.667,0.188,0.455,0.333,0.404,0.543,0.806,0.031,5,0.36,0.406,0,0
