Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,21,PHO,NBA,SF,40,614,0.528,7.5,0.902,0.444,0.252,0.117,0.089,0.098,0.56,0.705,0.481,0.32,0.368,0.238,0.62,1,0.051,11,0.333,0.143,1,0
2015-16,22,PHO,NBA,SF,47,1070,0.501,10.8,0.841,0.274,0.202,0.204,0.161,0.159,0.52,0.678,0.438,0.489,0.394,0.4,0.653,0.929,0.043,19,0.543,0.447,2,0
2016-17,23,PHO,NBA,SF,66,2048,0.495,10.7,0.88,0.29,0.221,0.2,0.167,0.12,0.527,0.746,0.456,0.399,0.397,0.265,0.536,0.923,0.032,23,0.52,0.255,3,0
2017-18,24,PHO,NBA,SF,65,2142,0.498,8.8,0.915,0.378,0.182,0.188,0.167,0.085,0.523,0.682,0.415,0.425,0.393,0.222,0.617,1,0.041,44,0.411,0.216,0,0
2018-19,25,PHO,NBA,SF,43,1360,0.486,12.1,0.705,0.3,0.203,0.146,0.057,0.295,0.51,0.672,0.395,0.438,0.257,0.428,0.55,0.896,0.033,19,0.3,0.481,0,0
2019-20,26,IND,NBA,SF,67,2202,0.536,12,0.773,0.275,0.171,0.216,0.112,0.227,0.575,0.759,0.465,0.488,0.455,0.403,0.609,0.901,0.037,37,0.412,0.419,0,0
2020-21,27,IND,NBA,SF,4,117,0.529,10.7,0.863,0.333,0.137,0.196,0.196,0.137,0.614,0.824,0.714,0.3,0.5,0,0.593,,0.039,2,0.429,0,0,0
2022-23,29,TOT,NBA,"PF,SF",42,687,0.489,13,0.752,0.156,0.252,0.237,0.107,0.248,0.542,0.714,0.471,0.484,0.586,0.328,0.664,0.955,0.019,5,0.403,0.296,0,0
2022-23,29,BRK,NBA,PF,26,490,0.51,12.9,0.76,0.15,0.25,0.255,0.105,0.24,0.566,0.833,0.44,0.529,0.571,0.333,0.663,0.938,0.02,4,0.354,0.235,0,0
2022-23,29,PHO,NBA,SF,16,197,0.429,13.3,0.729,0.171,0.257,0.186,0.114,0.271,0.471,0.417,0.556,0.308,0.625,0.316,0.667,1,0.014,1,0.526,0.4,0,0
