Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,CHI,NBA,PF,65,1459,0.485,7.9,0.991,0.435,0.188,0.17,0.197,0.009,0.49,0.656,0.373,0.413,0.299,0,0.766,,0.127,54,0.25,0,0,0
2013-14,28,CHI,NBA,PF,82,2351,0.479,8.5,0.992,0.383,0.194,0.221,0.194,0.008,0.483,0.638,0.356,0.399,0.397,0,0.669,,0.109,89,0.286,0,4,0
2014-15,29,CHI,NBA,PF,62,1692,0.502,5.1,1,0.555,0.198,0.168,0.081,0,0.502,0.619,0.35,0.341,0.415,,0.717,,0.144,67,,,0,0
2015-16,30,CHI,NBA,PF,73,1936,0.526,5.8,0.994,0.524,0.188,0.16,0.124,0.006,0.529,0.63,0.447,0.388,0.403,0,0.643,,0.152,71,0,,0,0
2016-17,31,TOT,NBA,PF,78,1989,0.515,6.9,0.982,0.423,0.283,0.142,0.131,0.018,0.52,0.677,0.448,0.376,0.333,0.231,0.657,0.667,0.096,63,0.846,0.182,1,1
2016-17,31,CHI,NBA,PF,55,1502,0.521,7,0.977,0.419,0.287,0.14,0.13,0.023,0.529,0.68,0.454,0.405,0.348,0.167,0.664,1,0.085,43,0.917,0.182,0,0
2016-17,31,OKC,NBA,PF,23,487,0.497,6.8,0.994,0.436,0.274,0.151,0.134,0.006,0.494,0.667,0.429,0.296,0.292,1,0.636,0,0.128,20,0,,1,1
2017-18,32,MIN,NBA,PF,82,2726,0.577,6.5,0.953,0.482,0.236,0.117,0.118,0.047,0.595,0.752,0.466,0.442,0.368,0.2,0.711,1,0.125,89,0.771,0.222,1,0
2018-19,33,MIN,NBA,PF,70,1686,0.566,5.9,0.937,0.547,0.248,0.069,0.073,0.063,0.583,0.69,0.421,0.405,0.487,0.324,0.669,1,0.104,55,0.765,0.385,1,0
2019-20,34,NYK,NBA,C,62,1025,0.584,6.7,0.951,0.577,0.136,0.08,0.157,0.049,0.599,0.703,0.436,0.478,0.422,0.286,0.724,1,0.14,34,0.571,0.25,0,0
2020-21,35,NYK,NBA,C,45,936,0.627,5.8,0.905,0.601,0.184,0.082,0.038,0.095,0.671,0.789,0.414,0.538,0.333,0.2,0.604,1,0.165,23,0.467,0.286,0,0
2021-22,36,NYK,NBA,C,52,946,0.518,9.9,0.771,0.398,0.181,0.102,0.09,0.229,0.555,0.667,0.433,0.529,0.333,0.395,0.676,1,0.127,18,0.658,0.52,0,0
2022-23,37,WAS,NBA,C,49,480,0.52,10.3,0.808,0.288,0.28,0.144,0.096,0.192,0.564,0.806,0.429,0.5,0.333,0.333,0.667,1,0.064,8,0.458,0.455,0,0
