Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,PHI,NBA,PF,76,2629,0.531,7,0.992,0.452,0.248,0.102,0.189,0.008,0.535,0.67,0.454,0.357,0.414,0.125,0.72,1,0.093,82,0.75,0.167,0,0
2013-14,25,PHI,NBA,PF,79,2718,0.454,10.3,0.772,0.377,0.223,0.06,0.112,0.228,0.496,0.645,0.374,0.338,0.326,0.308,0.559,0.922,0.048,57,0.188,0.309,0,0
2014-15,26,TOT,NBA,PF,76,2434,0.466,8.1,0.881,0.4,0.277,0.08,0.124,0.119,0.484,0.615,0.41,0.364,0.3,0.33,0.557,0.921,0.03,26,0.165,0.263,1,0
2014-15,26,MIN,NBA,PF,48,1605,0.451,8.4,0.899,0.378,0.267,0.098,0.154,0.101,0.469,0.579,0.439,0.381,0.303,0.292,0.556,0.947,0.027,14,0.185,0.167,1,0
2014-15,26,BRK,NBA,PF,28,829,0.495,7.5,0.847,0.443,0.297,0.043,0.064,0.153,0.516,0.676,0.361,0.286,0.286,0.38,0.559,0.895,0.037,12,0.14,0.429,0,0
2015-16,27,BRK,NBA,PF,73,2407,0.514,6.6,0.969,0.388,0.388,0.053,0.139,0.031,0.523,0.612,0.497,0.333,0.418,0.233,0.559,0.714,0.03,27,0.3,0.111,2,0
2016-17,28,IND,NBA,PF,74,2237,0.527,8.3,0.828,0.438,0.281,0.044,0.067,0.172,0.557,0.651,0.482,0.4,0.348,0.381,0.729,0.978,0.061,36,0.492,0.345,1,0
2017-18,29,IND,NBA,PF,81,2607,0.487,9.2,0.791,0.387,0.256,0.073,0.076,0.209,0.531,0.626,0.466,0.349,0.439,0.32,0.565,0.948,0.052,40,0.331,0.317,2,0
2018-19,30,IND,NBA,PF,81,2489,0.527,7.8,0.826,0.464,0.287,0.039,0.037,0.174,0.564,0.679,0.456,0.303,0.226,0.349,0.554,0.941,0.05,36,0.445,0.354,2,0
2019-20,31,CHI,NBA,PF,64,1591,0.448,11.9,0.631,0.329,0.25,0.023,0.028,0.369,0.501,0.601,0.413,0.214,0.353,0.356,0.568,0.937,0.048,26,0.423,0.362,2,0
2020-21,32,CHI,NBA,PF,68,1652,0.559,5.7,0.932,0.446,0.424,0.044,0.018,0.068,0.58,0.678,0.505,0.414,0.333,0.267,0.57,1,0.038,22,0.489,0.318,3,0
2021-22,33,TOT,NBA,PF,52,845,0.518,7.7,0.824,0.382,0.393,0.026,0.022,0.176,0.554,0.625,0.523,0.286,0.167,0.354,0.524,1,0.037,7,0.604,0.483,0,0
2021-22,33,SAS,NBA,PF,26,370,0.578,5.1,0.961,0.391,0.516,0.031,0.023,0.039,0.602,0.72,0.561,0,0.333,0,0.554,,0.039,3,0.2,0,0,0
2021-22,33,TOR,NBA,PF,26,475,0.465,10.1,0.701,0.375,0.285,0.021,0.021,0.299,0.495,0.537,0.463,0.667,0,0.395,0.48,1,0.035,4,0.651,0.5,0,0
2022-23,34,TOR,NBA,PF,54,795,0.545,7.9,0.828,0.364,0.409,0.04,0.015,0.172,0.622,0.806,0.494,0.25,0.667,0.176,0.549,1,0.051,10,0.706,0.208,1,0
