Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,24,TOT,NBA,PG,11,239,0.344,12.6,0.721,0.246,0.213,0.131,0.131,0.279,0.364,0.6,0.154,0.375,0.25,0.294,0.188,0.8,0,0,0,,0,0
2014-15,24,PHI,NBA,PG,6,171,0.302,13,0.744,0.233,0.186,0.163,0.163,0.256,0.313,0.4,0.125,0.429,0.286,0.273,0.2,0.667,0,0,0,,0,0
2014-15,24,POR,NBA,PG,5,68,0.444,11.6,0.667,0.278,0.278,0.056,0.056,0.333,0.5,1,0.2,0,0,0.333,0.167,1,0,0,0,,0,0
2015-16,25,TOT,NBA,PG,51,741,0.419,12.3,0.79,0.284,0.144,0.148,0.218,0.21,0.442,0.569,0.364,0.294,0.42,0.333,0.288,0.563,0.004,1,0.042,0,0,0
2015-16,25,POR,NBA,PG,35,272,0.333,12.6,0.717,0.3,0.15,0.1,0.183,0.283,0.395,0.444,0.444,0.333,0.273,0.176,0.471,0.667,0.017,1,0.059,0,0,0
2015-16,25,NOP,NBA,PG,16,469,0.45,12.2,0.817,0.278,0.142,0.166,0.231,0.183,0.457,0.617,0.333,0.286,0.462,0.419,0.238,0.538,0,0,0.032,0,0,0
2016-17,26,NOP,NBA,PG,65,1525,0.403,13.4,0.683,0.304,0.149,0.074,0.156,0.317,0.446,0.577,0.317,0.267,0.397,0.313,0.268,0.625,0.002,1,0.086,0.182,0,0
2017-18,27,WAS,NBA,PG,59,838,0.395,15.8,0.674,0.157,0.128,0.128,0.262,0.326,0.44,0.741,0.227,0.409,0.378,0.304,0.431,0.588,0.012,2,0.054,0.333,0,0
2018-19,28,TOT,NBA,PG,59,1120,0.444,14.3,0.613,0.272,0.123,0.126,0.092,0.387,0.494,0.648,0.281,0.455,0.375,0.366,0.392,0.811,0.004,1,0.238,0.458,0,0
2018-19,28,NOP,NBA,PG,47,909,0.451,14.2,0.605,0.287,0.118,0.118,0.082,0.395,0.517,0.643,0.391,0.478,0.313,0.351,0.443,0.852,0,0,0.247,0.526,0,0
2018-19,28,MIL,NBA,PG,12,211,0.424,14.5,0.636,0.227,0.136,0.152,0.121,0.364,0.429,0.667,0,0.4,0.5,0.417,0.222,0.7,0.015,1,0.208,0.2,0,0
2019-20,29,DET,NBA,PG,27,355,0.362,15.2,0.681,0.149,0.213,0.106,0.213,0.319,0.375,0.571,0.35,0.3,0.3,0.333,0.292,0.7,0,0,0.167,0.6,0,0
2020-21,30,MEM,NBA,PG,5,62,0.15,16.8,0.6,0.1,0.15,0.25,0.1,0.4,0.25,1,0,0.2,0,0,0.333,,0,0,0.125,0,0,0
2021-22,31,TOT,NBA,PG,12,208,0.311,17.4,0.622,0.067,0.178,0.133,0.244,0.378,0.286,1,0.25,0.167,0.182,0.353,0.375,0.833,0,0,0.235,0.25,0,0
2021-22,31,ORL,NBA,PG,10,200,0.302,17.5,0.605,0.07,0.186,0.116,0.233,0.395,0.269,1,0.25,0.2,0.1,0.353,0.286,0.833,0,0,0.235,0.25,0,0
2021-22,31,CLE,NBA,PG,2,8,0.5,14.9,1,0,0,0.5,0.5,0,0.5,,,0,1,,1,,0,0,,,0,0
