Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,21,NYK,NBA,SG,81,1875,0.428,17.5,0.479,0.204,0.054,0.077,0.144,0.521,0.498,0.679,0.162,0.358,0.444,0.363,0.537,0.869,0.045,29,0.321,0.357,2,0
2014-15,22,NYK,NBA,SG,70,1681,0.389,16.9,0.506,0.191,0.093,0.059,0.163,0.494,0.435,0.606,0.269,0.286,0.385,0.342,0.519,0.893,0.015,11,0.192,0.279,3,0
2015-16,23,ATL,NBA,SG,51,864,0.43,17,0.464,0.226,0.057,0.042,0.14,0.536,0.537,0.7,0.333,0.455,0.378,0.338,0.697,0.938,0.034,9,0.296,0.357,2,0
2016-17,24,ATL,NBA,SG,79,2154,0.455,15.5,0.543,0.292,0.078,0.066,0.107,0.457,0.537,0.654,0.408,0.4,0.398,0.357,0.635,0.846,0.054,47,0.168,0.414,4,0
2017-18,25,NYK,NBA,SG,57,1885,0.421,16.4,0.521,0.222,0.089,0.091,0.119,0.479,0.516,0.642,0.276,0.513,0.461,0.317,0.504,0.792,0.028,21,0.124,0.373,2,0
2018-19,26,TOT,NBA,SG,65,2057,0.393,17.4,0.52,0.162,0.11,0.113,0.135,0.48,0.442,0.584,0.321,0.42,0.388,0.34,0.425,0.728,0.016,14,0.115,0.345,2,0
2018-19,26,NYK,NBA,SG,46,1499,0.388,17.4,0.536,0.168,0.106,0.107,0.154,0.464,0.424,0.557,0.299,0.41,0.375,0.347,0.352,0.675,0.012,8,0.077,0.269,1,0
2018-19,26,DAL,NBA,SG,19,558,0.404,17.6,0.476,0.146,0.12,0.127,0.082,0.524,0.496,0.667,0.375,0.441,0.455,0.321,0.619,0.867,0.026,6,0.207,0.414,1,0
2019-20,27,DAL,NBA,SG,71,2091,0.434,18.6,0.42,0.131,0.11,0.08,0.098,0.58,0.485,0.612,0.351,0.507,0.448,0.398,0.517,0.838,0.023,17,0.24,0.447,3,0
2020-21,28,DAL,NBA,SG,70,1985,0.447,18.5,0.419,0.158,0.099,0.075,0.088,0.581,0.524,0.715,0.4,0.426,0.4,0.391,0.545,0.841,0.036,28,0.185,0.388,3,0
2021-22,29,DAL,NBA,SG,42,1245,0.394,19.6,0.426,0.094,0.092,0.098,0.142,0.574,0.473,0.68,0.429,0.404,0.413,0.336,0.664,0.804,0.034,15,0.194,0.322,4,0
2022-23,30,DAL,NBA,SF,71,2152,0.401,19.7,0.351,0.109,0.093,0.09,0.059,0.649,0.431,0.543,0.367,0.434,0.32,0.385,0.641,0.896,0.014,9,0.271,0.389,4,0
