Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,TOT,NBA,"PF,SF",55,1299,0.455,10.5,0.789,0.332,0.254,0.113,0.09,0.211,0.493,0.6,0.4,0.362,0.522,0.315,0.573,0.882,0.051,24,0.296,0.281,0,0
2012-13,20,MIL,NBA,SF,28,325,0.461,9.7,0.817,0.348,0.217,0.209,0.043,0.183,0.489,0.575,0.4,0.417,0.6,0.333,0.609,1,0.07,7,0.571,0.333,0,0
2012-13,20,ORL,NBA,PF,27,974,0.453,10.7,0.781,0.327,0.264,0.086,0.103,0.219,0.494,0.608,0.4,0.324,0.512,0.31,0.562,0.852,0.045,17,0.23,0.25,0,0
2013-14,21,ORL,NBA,PF,61,1850,0.464,11.6,0.824,0.293,0.203,0.113,0.215,0.176,0.508,0.705,0.379,0.42,0.409,0.254,0.57,0.906,0.042,28,0.556,0.286,0,0
2014-15,22,ORL,NBA,SF,68,2369,0.466,11.5,0.748,0.296,0.201,0.115,0.136,0.252,0.5,0.683,0.382,0.367,0.388,0.364,0.558,0.966,0.052,46,0.427,0.451,2,0
2015-16,23,TOT,NBA,PF,76,2513,0.469,10.5,0.731,0.375,0.187,0.076,0.094,0.269,0.518,0.631,0.41,0.353,0.417,0.335,0.561,0.938,0.057,49,0.351,0.31,0,0
2015-16,23,ORL,NBA,PF,49,1610,0.464,10.4,0.721,0.403,0.165,0.061,0.092,0.279,0.523,0.624,0.427,0.242,0.44,0.311,0.588,0.915,0.085,45,0.397,0.3,0,0
2015-16,23,DET,NBA,PF,27,903,0.477,10.7,0.747,0.33,0.221,0.101,0.098,0.253,0.512,0.643,0.39,0.457,0.382,0.375,0.519,0.97,0.014,4,0.273,0.333,0,0
2016-17,24,DET,NBA,PF,82,2567,0.481,13.3,0.705,0.207,0.22,0.169,0.108,0.295,0.537,0.705,0.474,0.444,0.487,0.347,0.502,0.991,0.051,50,0.258,0.346,2,0
2017-18,25,TOT,NBA,PF,80,2668,0.46,13.9,0.636,0.212,0.183,0.156,0.084,0.364,0.488,0.645,0.402,0.455,0.343,0.411,0.459,0.869,0.048,53,0.227,0.446,1,0
2017-18,25,DET,NBA,PF,48,1563,0.451,14.4,0.611,0.192,0.182,0.165,0.072,0.389,0.478,0.625,0.426,0.436,0.314,0.409,0.488,0.858,0.049,32,0.217,0.417,1,0
2017-18,25,LAC,NBA,PF,32,1105,0.473,13.1,0.67,0.24,0.186,0.145,0.1,0.33,0.501,0.667,0.368,0.486,0.373,0.414,0.424,0.886,0.047,21,0.243,0.488,0,0
2018-19,26,TOT,NBA,PF,82,2847,0.487,13.4,0.687,0.242,0.192,0.158,0.095,0.313,0.528,0.66,0.461,0.434,0.487,0.397,0.393,0.808,0.047,55,0.17,0.448,3,0
2018-19,26,LAC,NBA,PF,55,1903,0.496,13.4,0.698,0.235,0.198,0.163,0.103,0.302,0.523,0.657,0.456,0.439,0.477,0.434,0.34,0.813,0.036,30,0.159,0.488,2,0
2018-19,26,PHI,NBA,PF,27,944,0.469,13.4,0.662,0.256,0.18,0.148,0.078,0.338,0.542,0.667,0.472,0.424,0.516,0.326,0.51,0.795,0.07,25,0.193,0.385,1,0
2019-20,27,PHI,NBA,PF,72,2469,0.471,13.2,0.696,0.229,0.214,0.157,0.095,0.304,0.517,0.662,0.482,0.467,0.33,0.367,0.479,0.863,0.049,52,0.19,0.441,0,0
2020-21,28,PHI,NBA,PF,62,2014,0.512,11.7,0.775,0.22,0.313,0.144,0.098,0.225,0.546,0.709,0.474,0.511,0.462,0.394,0.358,0.817,0.043,35,0.202,0.452,0,0
2021-22,29,PHI,NBA,PF,73,2543,0.482,11.7,0.731,0.25,0.282,0.156,0.043,0.269,0.525,0.699,0.444,0.428,0.386,0.367,0.444,0.891,0.045,43,0.262,0.361,1,0
2022-23,30,PHI,NBA,SF,74,2436,0.501,13.2,0.617,0.26,0.22,0.102,0.034,0.383,0.57,0.709,0.473,0.453,0.483,0.389,0.495,0.937,0.07,51,0.389,0.405,0,0
