Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2017-18,27,DEN,NBA,SF,39,629,0.453,12.4,0.577,0.46,0.073,0.015,0.029,0.423,0.57,0.619,0.2,0.5,0.75,0.293,0.644,1,0.102,13,0.362,0.381,3,0
2018-19,28,DEN,NBA,SF,75,1503,0.442,14.5,0.481,0.326,0.105,0.03,0.019,0.519,0.569,0.703,0.289,0.364,0.143,0.324,0.697,0.934,0.086,27,0.388,0.37,0,0
2019-20,29,DEN,NBA,SF,58,1072,0.461,15,0.487,0.342,0.074,0.041,0.03,0.513,0.603,0.739,0.3,0.182,0.375,0.326,0.633,0.956,0.052,10,0.341,0.298,2,0
2020-21,30,TOT,NBA,SF,50,803,0.48,14.4,0.533,0.304,0.137,0.048,0.044,0.467,0.579,0.783,0.194,0.727,0.2,0.368,0.571,0.974,0.066,14,0.321,0.265,0,0
2020-21,30,MIL,NBA,SF,18,201,0.391,14.8,0.522,0.217,0.239,0.022,0.043,0.478,0.417,0.8,0.091,1,0,0.364,0.8,1,0.087,4,0.273,0,0,0
2020-21,30,PHO,NBA,SF,32,602,0.503,14.3,0.536,0.326,0.11,0.055,0.044,0.464,0.619,0.78,0.25,0.7,0.25,0.369,0.533,0.968,0.061,10,0.333,0.321,0,0
2021-22,31,TOT,NBA,SF,78,1596,0.454,16,0.469,0.231,0.141,0.057,0.041,0.531,0.594,0.725,0.532,0.4,0.333,0.329,0.585,0.961,0.041,18,0.41,0.365,2,0
2021-22,31,IND,NBA,SF,51,1034,0.456,15.2,0.509,0.26,0.135,0.057,0.057,0.491,0.573,0.712,0.5,0.375,0.313,0.333,0.561,0.978,0.036,10,0.442,0.443,1,0
2021-22,31,PHO,NBA,SF,27,562,0.45,17.2,0.4,0.181,0.15,0.056,0.013,0.6,0.641,0.759,0.583,0.444,0.5,0.323,0.634,0.935,0.05,8,0.365,0.229,1,0
2022-23,32,PHO,NBA,PF,79,1948,0.456,15,0.494,0.266,0.138,0.062,0.028,0.506,0.518,0.699,0.319,0.258,0.357,0.395,0.57,0.99,0.044,17,0.474,0.45,1,0
