Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,WAS,NBA,SF,56,1471,0.417,15.9,0.537,0.273,0.058,0.053,0.153,0.463,0.463,0.593,0.192,0.208,0.42,0.364,0.634,0.961,0.038,17,0.407,0.471,0,0
2013-14,28,WAS,NBA,SF,77,2723,0.456,16.6,0.482,0.254,0.07,0.033,0.124,0.518,0.509,0.65,0.3,0.214,0.415,0.407,0.589,0.956,0.05,42,0.396,0.446,4,1
2014-15,29,HOU,NBA,SF,82,2930,0.402,17.2,0.39,0.225,0.047,0.035,0.081,0.61,0.485,0.615,0.349,0.188,0.338,0.35,0.581,0.933,0.056,47,0.377,0.421,0,0
2015-16,30,HOU,NBA,SF,81,2859,0.416,16.2,0.419,0.255,0.054,0.035,0.077,0.581,0.478,0.594,0.283,0.267,0.318,0.371,0.599,0.914,0.068,55,0.415,0.43,1,0
2016-17,31,HOU,NBA,SF,80,2773,0.409,18.6,0.305,0.207,0.054,0.013,0.031,0.695,0.556,0.655,0.395,0.4,0.28,0.344,0.615,0.958,0.041,29,0.351,0.39,1,0
2017-18,32,HOU,NBA,SF,67,2269,0.412,18,0.29,0.22,0.052,0.008,0.011,0.71,0.519,0.636,0.176,0,0.143,0.368,0.592,0.953,0.029,19,0.392,0.431,2,0
2018-19,33,TOT,NBA,SF,69,2349,0.399,16.6,0.41,0.262,0.091,0.023,0.034,0.59,0.493,0.611,0.224,0.294,0.44,0.334,0.617,0.917,0.042,29,0.297,0.395,1,0
2018-19,33,PHO,NBA,SF,26,884,0.379,16.8,0.388,0.251,0.097,0.013,0.026,0.612,0.409,0.491,0.227,0,0.5,0.36,0.472,0.94,0.04,9,0.288,0.4,0,0
2018-19,33,WAS,NBA,SF,43,1465,0.409,16.5,0.42,0.267,0.088,0.028,0.037,0.58,0.528,0.662,0.222,0.357,0.421,0.322,0.664,0.905,0.043,20,0.302,0.393,1,0
2019-20,34,TOT,NBA,SF,53,1493,0.438,17,0.361,0.269,0.065,0.012,0.015,0.639,0.556,0.701,0.19,0,0,0.372,0.692,0.948,0.059,16,0.377,0.397,1,0
2019-20,34,SAC,NBA,SF,32,791,0.388,19.4,0.261,0.188,0.042,0.012,0.018,0.739,0.488,0.677,0,0,0,0.352,0.571,0.977,0.036,6,0.369,0.333,1,0
2019-20,34,POR,NBA,SF,21,702,0.491,14.5,0.465,0.352,0.088,0.013,0.013,0.535,0.595,0.714,0.286,0,0,0.4,0.75,0.912,0.082,10,0.388,0.485,0,0
2020-21,35,MIA,NBA,SF,30,841,0.411,16.1,0.407,0.286,0.095,0.008,0.017,0.593,0.5,0.609,0.261,0,0.25,0.35,0.776,0.94,0.041,9,0.413,0.373,1,0
2021-22,36,LAL,NBA,SF,24,462,0.333,19.3,0.253,0.162,0.081,0.01,0,0.747,0.52,0.688,0.25,0,,0.27,0.769,1,0.01,1,0.365,0.185,0,0
