Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,21,UTA,NBA,PG,70,2262,0.38,16.8,0.625,0.146,0.124,0.095,0.261,0.375,0.41,0.511,0.342,0.318,0.419,0.33,0.27,0.847,0.001,1,0.11,0.405,3,0
2014-15,22,UTA,NBA,PG,76,2288,0.368,16,0.612,0.149,0.156,0.085,0.222,0.388,0.4,0.493,0.306,0.412,0.399,0.318,0.211,0.895,0,0,0.19,0.419,6,1
2015-16,23,UTA,NBA,PG,64,1366,0.413,16.2,0.596,0.159,0.117,0.118,0.202,0.404,0.46,0.525,0.392,0.48,0.438,0.344,0.144,0.909,0,0,0.215,0.345,6,0
2016-17,24,WAS,NBA,PG,57,703,0.455,16.1,0.725,0.137,0.086,0.184,0.314,0.275,0.459,0.514,0.455,0.489,0.425,0.443,0.212,0.806,0,0,0.171,0.667,0,0
2017-18,25,NYK,NBA,PG,36,785,0.503,15.6,0.727,0.161,0.102,0.169,0.294,0.273,0.556,0.726,0.41,0.462,0.566,0.362,0.226,0.789,0.003,1,0.133,0.429,3,0
2018-19,26,TOT,NBA,PG,58,1125,0.431,14.2,0.71,0.208,0.168,0.168,0.166,0.29,0.463,0.605,0.402,0.359,0.451,0.352,0.139,0.661,0.002,1,0.145,0.348,3,0
2018-19,26,NYK,NBA,PG,33,689,0.413,14.2,0.76,0.209,0.154,0.187,0.209,0.24,0.434,0.573,0.418,0.299,0.427,0.349,0.136,0.6,0.003,1,0.093,0.125,3,0
2018-19,26,DAL,NBA,PG,25,436,0.463,14.4,0.616,0.205,0.195,0.132,0.084,0.384,0.53,0.667,0.378,0.52,0.563,0.356,0.145,0.731,0,0,0.205,0.467,0,0
2019-20,27,TOT,NBA,PG,33,520,0.45,15.1,0.641,0.244,0.11,0.124,0.163,0.359,0.463,0.549,0.348,0.577,0.324,0.427,0.323,0.844,0,0,0.227,0.471,2,0
2019-20,27,PHI,NBA,PG,25,329,0.465,14.4,0.701,0.252,0.118,0.134,0.197,0.299,0.483,0.688,0.2,0.588,0.32,0.421,0.395,0.938,0,0,0.132,0.8,1,0
2019-20,27,DAL,NBA,PG,8,191,0.427,16.1,0.549,0.232,0.098,0.11,0.11,0.451,0.422,0.316,0.625,0.556,0.333,0.432,0.158,0.75,0,0,0.324,0.333,1,0
2020-21,28,DAL,NBA,PG,62,911,0.428,17.1,0.535,0.159,0.096,0.139,0.142,0.465,0.492,0.518,0.441,0.51,0.48,0.354,0.312,0.897,0,0,0.293,0.313,1,1
2021-22,29,DAL,NBA,PG,42,441,0.391,17,0.619,0.098,0.163,0.126,0.233,0.381,0.436,0.714,0.429,0.444,0.32,0.317,0.259,0.846,0,0,0.146,0.583,0,0
