Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,CLE,NBA,PF,82,2564,0.488,4.8,0.996,0.461,0.416,0.106,0.014,0.004,0.49,0.609,0.392,0.388,0.273,0,0.495,,0.164,111,0,,2,0
2013-14,22,CLE,NBA,PF,82,2594,0.477,5.5,0.999,0.435,0.378,0.139,0.046,0.001,0.478,0.58,0.42,0.349,0.371,0,0.65,,0.15,100,0,,1,0
2014-15,23,CLE,NBA,PF,82,2194,0.547,2.8,1,0.668,0.244,0.072,0.016,0,0.547,0.647,0.353,0.314,0.375,,0.715,,0.26,117,,,0,0
2015-16,24,CLE,NBA,PF,82,2269,0.588,2.4,1,0.695,0.26,0.036,0.01,0,0.588,0.671,0.413,0.4,0,,0.7,,0.255,98,,,0,0
2016-17,25,CLE,NBA,C,78,2336,0.6,3,0.993,0.686,0.263,0.034,0.009,0.007,0.604,0.677,0.435,0.467,0.5,0,0.71,,0.293,122,0,,1,0
2017-18,26,CLE,NBA,C,53,1072,0.562,3.2,1,0.664,0.255,0.06,0.026,0,0.562,0.673,0.35,0.286,0.333,,0.712,,0.196,40,,,0,0
2018-19,27,CLE,NBA,C,43,1198,0.529,4.8,1,0.461,0.411,0.108,0.021,0,0.529,0.594,0.506,0.39,0.25,,0.502,,0.1,30,,,0,0
2019-20,28,CLE,NBA,PF,57,1721,0.512,5.1,0.959,0.496,0.374,0.073,0.016,0.041,0.518,0.624,0.433,0.317,0.111,0.391,0.599,0.667,0.185,95,0.087,0,0,0
2020-21,29,BOS,NBA,PF,54,1287,0.518,4.5,0.991,0.472,0.466,0.046,0.006,0.009,0.523,0.571,0.48,0.467,0.5,0,0.544,,0.095,26,0,,2,0
2021-22,30,TOT,NBA,PF,57,896,0.528,4.3,0.989,0.487,0.464,0.034,0.004,0.011,0.53,0.608,0.452,0.556,0,0.333,0.657,1,0.157,33,0,,2,0
2021-22,30,SAC,NBA,PF,30,455,0.503,3.9,0.993,0.497,0.47,0.026,0,0.007,0.5,0.56,0.423,0.75,,1,0.64,1,0.172,18,0,,0,0
2021-22,30,IND,NBA,PF,4,66,0.542,4.9,1,0.292,0.667,0.042,0,0,0.542,0.857,0.375,1,,,0.846,,0.083,2,,,0,0
2021-22,30,CHI,NBA,PF,23,376,0.565,4.8,0.978,0.522,0.402,0.043,0.011,0.022,0.578,0.646,0.541,0.25,0,0,0.635,,0.152,13,0,,2,0
