Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,HOU,NBA,SG,5,75,0.484,22.3,0.194,0,0.129,0.032,0.032,0.806,0.5,,0.5,1,0,0.48,0.333,0.75,0,0,0.16,0.25,0,0
2014-15,23,TOT,NBA,SG,47,397,0.37,21.4,0.285,0.061,0.036,0.03,0.158,0.715,0.383,0.4,0.333,0,0.462,0.364,0.667,0.767,0,0,0.22,0.385,0,0
2014-15,23,HOU,NBA,SG,17,108,0.319,23.6,0.085,0.021,0,0,0.064,0.915,0.5,1,,,0.333,0.302,0.5,0.923,0,0,0.326,0.357,0,0
2014-15,23,MIN,NBA,SG,19,154,0.322,20.4,0.339,0.068,0.068,0.034,0.169,0.661,0.3,0,0.25,0,0.5,0.333,0.667,0.769,0,0,0.205,0.5,0,0
2014-15,23,CHO,NBA,SG,11,135,0.458,20.7,0.39,0.085,0.034,0.051,0.22,0.61,0.435,0.6,0.5,0,0.462,0.472,0.7,0.647,0,0,0.111,0.25,0,0
2015-16,24,CHO,NBA,SG,43,476,0.476,21.2,0.348,0.037,0.053,0.064,0.193,0.652,0.462,0.571,0.4,0.25,0.528,0.484,0.8,0.949,0,0,0.254,0.613,0,0
2016-17,25,MEM,NBA,SG,67,1183,0.374,22.7,0.283,0.044,0.026,0.048,0.166,0.717,0.336,0.318,0.385,0.25,0.354,0.389,0.681,0.833,0,0,0.135,0.542,2,0
2017-18,26,PHO,NBA,SG,79,1622,0.403,22.2,0.203,0.049,0.03,0.054,0.071,0.797,0.419,0.429,0.529,0.516,0.293,0.4,0.694,0.923,0,0,0.231,0.5,2,0
2018-19,27,PHO,NBA,SG,51,760,0.411,21.3,0.295,0.076,0.062,0.033,0.124,0.705,0.481,0.476,0.471,0.556,0.471,0.381,0.59,0.851,0,0,0.216,0.5,0,0
2019-20,28,TOT,NBA,SG,47,532,0.387,21.5,0.29,0.054,0.065,0.065,0.108,0.71,0.481,0.7,0.5,0.5,0.35,0.348,0.769,0.957,0,0,0.28,0.432,0,0
2019-20,28,LAL,NBA,SG,41,456,0.392,21.3,0.291,0.063,0.07,0.07,0.089,0.709,0.478,0.7,0.545,0.455,0.286,0.357,0.727,0.95,0,0,0.277,0.419,0,0
2019-20,28,DEN,NBA,SG,6,76,0.357,22.8,0.286,0,0.036,0.036,0.214,0.714,0.5,,0,1,0.5,0.3,1,1,0,0,0.3,0.5,0,0
