Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,22,MIA,NBA,SG,32,603,0.419,13,0.713,0.293,0.174,0.066,0.18,0.287,0.437,0.592,0.31,0.455,0.3,0.375,0.442,0.944,0.084,10,0.25,0.417,1,0
2015-16,23,MIA,NBA,SG,36,863,0.486,13,0.708,0.329,0.111,0.07,0.198,0.292,0.529,0.625,0.407,0.529,0.438,0.38,0.462,0.963,0.045,6,0.31,0.545,3,0
2016-17,24,MIA,NBA,PG,73,2178,0.433,13.9,0.697,0.261,0.149,0.087,0.198,0.303,0.46,0.595,0.439,0.292,0.374,0.372,0.451,0.957,0.046,35,0.208,0.385,2,0
2017-18,25,MIA,NBA,PG,72,2052,0.435,16,0.544,0.198,0.118,0.082,0.146,0.456,0.491,0.638,0.429,0.379,0.404,0.367,0.532,0.95,0.031,21,0.287,0.366,1,0
2018-19,26,TOT,NBA,PG,57,1529,0.413,16.2,0.506,0.181,0.175,0.093,0.057,0.494,0.477,0.642,0.446,0.367,0.233,0.346,0.567,0.956,0.011,5,0.185,0.271,0,0
2018-19,26,MIA,NBA,PG,44,1123,0.426,16.5,0.491,0.182,0.172,0.082,0.055,0.509,0.503,0.644,0.493,0.394,0.227,0.353,0.606,0.986,0.01,3,0.147,0.3,0,0
2018-19,26,PHO,NBA,PG,13,406,0.368,15.2,0.552,0.176,0.184,0.128,0.064,0.448,0.406,0.636,0.304,0.313,0.25,0.321,0.429,0.833,0.016,2,0.321,0.222,0,0
2019-20,27,TOT,NBA,"PG,SG",39,709,0.388,17.9,0.524,0.144,0.112,0.092,0.176,0.476,0.45,0.556,0.286,0.478,0.455,0.319,0.627,0.947,0,0,0.151,0.389,1,0
2019-20,27,PHO,NBA,PG,31,515,0.38,17.6,0.515,0.164,0.105,0.105,0.14,0.485,0.466,0.571,0.389,0.5,0.375,0.289,0.61,0.917,0,0,0.181,0.467,1,0
2019-20,27,BRK,NBA,SG,8,194,0.405,18.5,0.544,0.101,0.127,0.063,0.253,0.456,0.419,0.5,0.1,0.4,0.55,0.389,0.667,1,0,0,0.083,0,0,0
2020-21,28,BRK,NBA,SG,39,684,0.393,21,0.279,0.082,0.055,0.066,0.077,0.721,0.471,0.6,0.4,0.417,0.429,0.364,0.625,0.958,0,0,0.311,0.415,1,0
2021-22,29,TOT,NBA,PG,6,91,0.3,22.2,0.35,0,0,0.15,0.2,0.65,0.143,,,0,0.25,0.385,1,1,0,0,0.308,0.25,0,0
2021-22,29,PHI,NBA,PG,3,38,0.4,23.6,0.3,0,0,0.1,0.2,0.7,0.333,,,0,0.5,0.429,1,1,0,0,0,,0,0
2021-22,29,SAS,NBA,PG,3,53,0.2,20.8,0.4,0,0,0.2,0.2,0.6,0,,,0,0,0.333,,1,0,0,0.667,0.25,0,0
