Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,CLE,NBA,C,77,2033,0.438,9.9,0.993,0.335,0.195,0.118,0.345,0.007,0.441,0.594,0.385,0.348,0.358,0,0.8,,0.066,31,0,,0,0
2013-14,24,CLE,NBA,C,70,1049,0.538,6.3,0.997,0.51,0.238,0.1,0.148,0.003,0.54,0.649,0.362,0.517,0.465,0,0.795,,0.107,30,0,,1,0
2014-15,25,BOS,NBA,C,82,1731,0.549,5.3,1,0.46,0.346,0.057,0.134,0,0.549,0.632,0.463,0.6,0.482,,0.791,,0.063,34,,,0,0
2015-16,26,BOS,NBA,C,60,710,0.476,7,1,0.434,0.252,0.072,0.241,0,0.476,0.675,0.301,0.19,0.386,,0.783,,0.066,16,,,0,0
2016-17,27,BOS,NBA,C,51,525,0.494,7.6,0.994,0.5,0.19,0.019,0.285,0.006,0.497,0.62,0.4,0,0.378,0,0.846,,0.051,8,0,,0,0
2017-18,28,TOT,NBA,C,66,1109,0.56,5.1,0.916,0.53,0.308,0.039,0.039,0.084,0.578,0.672,0.466,0.385,0.385,0.357,0.757,1,0.054,15,0.75,0.476,0,0
2017-18,28,BRK,NBA,C,42,703,0.546,6,0.886,0.476,0.336,0.035,0.039,0.114,0.567,0.651,0.494,0.25,0.444,0.385,0.757,1,0.039,7,0.731,0.526,0,0
2017-18,28,MIL,NBA,C,24,406,0.59,3.4,0.981,0.648,0.248,0.048,0.038,0.019,0.602,0.706,0.385,0.6,0.25,0,0.758,,0.086,8,1,0,0,0
2018-19,29,TOT,NBA,C,6,93,0.533,4.8,0.967,0.433,0.5,0.033,0,0.033,0.552,0.615,0.467,1,,0,0.625,,0.067,2,1,0,0,0
2018-19,29,ATL,NBA,C,2,11,0,12.5,0.5,0.5,0,0,0,0.5,0,0,,,,0,,,0,0,1,0,0,0
2018-19,29,MEM,NBA,C,4,82,0.571,4.2,1,0.429,0.536,0.036,0,0,0.571,0.667,0.467,1,,,0.625,,0.071,2,,,0,0
2019-20,30,SAS,NBA,C,2,4,0.25,3,1,0.5,0.5,0,0,0,0.25,0,0.5,,,,1,,0,0,,,0,0
