Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,30,NYK,NBA,C,66,2164,0.638,2.2,1,0.87,0.088,0.025,0.018,0,0.638,0.672,0.4,0.4,0.429,,0.741,,0.373,140,,,0,0
2013-14,31,NYK,NBA,C,55,1662,0.593,3.7,0.997,0.748,0.124,0.04,0.084,0.003,0.595,0.689,0.225,0.308,0.444,0,0.77,,0.351,106,0,,0,0
2014-15,32,DAL,NBA,C,75,2286,0.666,2.5,1,0.805,0.086,0.03,0.08,0,0.666,0.746,0.237,0.462,0.4,,0.727,,0.432,179,,,0,0
2015-16,33,PHO,NBA,C,66,1618,0.583,2.8,0.997,0.768,0.124,0.038,0.067,0.003,0.585,0.685,0.333,0.167,0.143,0,0.667,,0.373,103,0,,1,0
2016-17,34,PHO,NBA,C,47,1298,0.671,1.4,1,0.895,0.096,0.004,0.004,0,0.671,0.711,0.364,0,0,,0.621,,0.368,74,,,0,0
2017-18,35,PHO,NBA,C,46,1151,0.647,1,1,0.93,0.053,0.005,0.011,0,0.647,0.672,0.2,1,0.5,,0.669,,0.412,65,,,0,0
2018-19,36,TOT,NBA,C,55,875,0.616,2.1,0.99,0.838,0.141,0,0.01,0.01,0.622,0.663,0.429,,0,0,0.672,,0.424,37,0,,0,0
2018-19,36,PHO,NBA,C,7,89,0.667,1.1,1,1,0,0,0,0,0.667,0.667,,,,,0.75,,0.583,6,,,0,0
2018-19,36,LAL,NBA,C,48,786,0.609,2.2,0.989,0.816,0.161,0,0.011,0.011,0.616,0.662,0.429,,0,0,0.66,,0.402,31,0,,0,0
2019-20,37,HOU,NBA,C,26,219,0.778,1.4,1,1,0,0,0,0,0.778,0.778,,,,,0.857,,0.611,11,,,0,0
