Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,21,ORL,NBA,PG,80,2487,0.419,12.4,0.759,0.388,0.092,0.077,0.202,0.241,0.448,0.554,0.244,0.333,0.381,0.327,0.236,0.73,0.042,38,0.102,0.304,4,0
2014-15,22,ORL,NBA,SG,72,2573,0.436,10.8,0.772,0.424,0.104,0.08,0.164,0.228,0.464,0.567,0.265,0.402,0.354,0.339,0.316,0.726,0.046,45,0.214,0.34,1,0
2015-16,23,ORL,NBA,SG,72,2379,0.438,13.5,0.709,0.298,0.082,0.1,0.23,0.291,0.475,0.574,0.313,0.402,0.435,0.348,0.388,0.806,0.042,33,0.262,0.405,4,0
2016-17,24,OKC,NBA,SG,67,2222,0.442,14.5,0.622,0.265,0.092,0.118,0.144,0.378,0.491,0.607,0.349,0.418,0.44,0.361,0.428,0.882,0.041,36,0.307,0.435,2,0
2017-18,25,IND,NBA,SG,75,2552,0.477,14.5,0.677,0.267,0.082,0.095,0.231,0.323,0.528,0.69,0.364,0.438,0.439,0.371,0.28,0.553,0.052,61,0.099,0.581,2,0
2018-19,26,IND,NBA,SG,36,1147,0.423,16.2,0.633,0.226,0.082,0.087,0.238,0.367,0.47,0.602,0.188,0.431,0.457,0.343,0.291,0.676,0.036,16,0.083,0.278,1,0
2019-20,27,IND,NBA,SG,19,528,0.394,16.6,0.577,0.24,0.073,0.13,0.134,0.423,0.451,0.441,0.556,0.438,0.424,0.317,0.422,0.455,0.016,3,0.096,0.2,0,0
2020-21,28,TOT,NBA,SG,33,1080,0.408,15.1,0.585,0.247,0.156,0.085,0.097,0.415,0.466,0.655,0.356,0.306,0.304,0.326,0.357,0.654,0.03,14,0.151,0.306,0,0
2020-21,28,IND,NBA,SG,9,300,0.421,15.2,0.546,0.316,0.105,0.046,0.079,0.454,0.47,0.542,0.5,0.286,0.25,0.362,0.487,0.72,0.026,4,0.087,0.333,0,0
2020-21,28,HOU,NBA,SG,20,669,0.407,15.1,0.598,0.22,0.173,0.1,0.105,0.402,0.465,0.69,0.318,0.342,0.35,0.32,0.274,0.592,0.026,7,0.157,0.292,0,0
2020-21,28,MIA,NBA,SG,4,111,0.372,14.5,0.605,0.233,0.186,0.093,0.093,0.395,0.462,0.9,0.375,0,0,0.235,0.667,1,0.07,3,0.353,0.333,0,0
2021-22,29,MIA,NBA,SG,8,173,0.479,16.9,0.507,0.247,0.096,0.082,0.082,0.493,0.541,0.667,0.286,0.667,0.333,0.417,0.25,0.467,0.027,2,0.139,0.8,1,0
2022-23,30,MIA,NBA,SG,42,1106,0.397,16.7,0.474,0.144,0.156,0.107,0.055,0.526,0.471,0.534,0.492,0.326,0.545,0.33,0.278,0.586,0.01,3,0.179,0.158,1,0
