Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,TOT,NBA,SG,78,1661,0.427,17.8,0.546,0.142,0.085,0.078,0.242,0.454,0.457,0.613,0.267,0.293,0.484,0.392,0.545,0.851,0.021,8,0.2,0.438,0,0
2012-13,25,MEM,NBA,SG,40,676,0.407,17.8,0.513,0.151,0.08,0.065,0.216,0.487,0.392,0.6,0.188,0.231,0.372,0.423,0.6,0.902,0.025,4,0.258,0.4,0,0
2012-13,25,CLE,NBA,SG,38,985,0.439,17.8,0.567,0.136,0.088,0.085,0.258,0.433,0.492,0.622,0.31,0.321,0.541,0.371,0.522,0.811,0.018,4,0.161,0.478,0,0
2013-14,26,DAL,NBA,SG,45,393,0.437,18.1,0.532,0.119,0.071,0.095,0.246,0.468,0.448,0.933,0.111,0.333,0.355,0.424,0.733,0.88,0.024,3,0.322,0.263,0,0
2014-15,27,LAL,NBA,SG,65,1675,0.412,17.1,0.606,0.16,0.057,0.075,0.314,0.394,0.439,0.616,0.286,0.37,0.392,0.37,0.579,0.689,0.016,9,0.165,0.3,0,0
2015-16,28,BRK,NBA,SG,76,1615,0.389,18.3,0.522,0.123,0.045,0.061,0.294,0.478,0.416,0.609,0.32,0.353,0.364,0.358,0.574,0.865,0.011,6,0.332,0.393,1,0
2016-17,29,MIA,NBA,SG,62,1500,0.416,22.1,0.29,0.047,0.016,0.023,0.204,0.71,0.509,0.846,0.444,0.154,0.478,0.378,0.756,0.926,0.007,4,0.282,0.414,1,0
2017-18,30,MIA,NBA,SG,77,2041,0.407,22,0.173,0.077,0.026,0.017,0.053,0.827,0.479,0.648,0.278,0.333,0.378,0.392,0.655,0.947,0.006,3,0.204,0.5,1,0
2018-19,31,TOT,NBA,SG,53,1297,0.403,21.8,0.186,0.072,0.068,0.015,0.031,0.814,0.541,0.758,0.452,0.429,0.286,0.371,0.761,0.906,0.002,1,0.263,0.388,0,0
2018-19,31,MIA,NBA,SG,25,533,0.375,22.1,0.158,0.071,0.043,0.016,0.027,0.842,0.414,0.538,0.5,0.333,0,0.368,0.75,0.965,0,0,0.271,0.405,0,0
2018-19,31,DET,NBA,SG,28,764,0.421,21.5,0.205,0.073,0.084,0.015,0.033,0.795,0.607,0.9,0.435,0.5,0.444,0.373,0.765,0.864,0.004,1,0.258,0.375,0,0
2019-20,32,NYK,NBA,SG,36,558,0.351,23.1,0.178,0.046,0.029,0.006,0.098,0.822,0.355,0.75,0,1,0.235,0.35,0.636,0.94,0,0,0.105,0.6,0,0
2020-21,33,DET,NBA,SG,46,1012,0.441,22.4,0.186,0.074,0.033,0.036,0.044,0.814,0.524,0.6,0.636,0.417,0.4,0.422,0.758,0.957,0,0,0.204,0.321,0,0
2021-22,34,LAL,NBA,SG,43,810,0.414,23.4,0.11,0.042,0.025,0.03,0.013,0.89,0.615,0.8,0.667,0.429,0.333,0.389,0.875,0.951,0,0,0.28,0.475,0,0
