Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,POR,NBA,SG,69,2403,0.436,16.7,0.474,0.225,0.075,0.063,0.11,0.526,0.478,0.599,0.361,0.392,0.36,0.398,0.47,0.888,0.02,13,0.355,0.437,1,0
2013-14,27,POR,NBA,SG,82,2780,0.441,16.7,0.494,0.188,0.106,0.092,0.108,0.506,0.49,0.637,0.393,0.398,0.404,0.393,0.549,0.94,0.019,17,0.344,0.403,1,0
2014-15,28,POR,NBA,SG,60,2024,0.448,17.6,0.408,0.146,0.105,0.07,0.086,0.592,0.534,0.6,0.57,0.453,0.446,0.389,0.451,0.873,0.013,10,0.29,0.403,0,0
2015-16,29,DAL,NBA,SF,78,2644,0.388,18.5,0.385,0.105,0.093,0.081,0.107,0.615,0.432,0.5,0.342,0.406,0.462,0.36,0.415,0.884,0.002,2,0.288,0.424,0,0
2016-17,30,DAL,NBA,SG,73,2495,0.393,18.7,0.434,0.113,0.091,0.112,0.119,0.566,0.432,0.552,0.377,0.432,0.356,0.363,0.296,0.839,0.001,1,0.177,0.435,2,0
2017-18,31,DAL,NBA,SF,63,2131,0.406,18.4,0.423,0.096,0.118,0.106,0.103,0.577,0.441,0.507,0.439,0.459,0.361,0.381,0.392,0.882,0,0,0.209,0.464,1,0
2018-19,32,TOT,NBA,"SF,SG",69,2091,0.4,18.3,0.423,0.125,0.138,0.112,0.049,0.577,0.437,0.609,0.365,0.372,0.353,0.372,0.558,0.92,0,0,0.206,0.422,2,0
2018-19,32,DAL,NBA,SF,44,1312,0.414,17.8,0.439,0.124,0.166,0.113,0.036,0.561,0.456,0.638,0.385,0.434,0.235,0.38,0.5,0.92,0,0,0.183,0.458,2,0
2018-19,32,NYK,NBA,SG,2,54,0.211,19.2,0.474,0.053,0.053,0.263,0.105,0.526,0.222,0,1,0.2,0,0.2,0,1,0,0,0.3,0,0,0
2018-19,32,IND,NBA,SG,23,725,0.386,19.2,0.381,0.133,0.081,0.095,0.071,0.619,0.413,0.571,0.235,0.25,0.533,0.369,0.758,0.917,0,0,0.246,0.406,0,0
2019-20,33,MIL,NBA,SG,67,1635,0.396,19.9,0.296,0.13,0.081,0.052,0.033,0.704,0.472,0.691,0.235,0.409,0.286,0.364,0.61,0.935,0.005,2,0.276,0.415,0,0
2020-21,34,LAL,NBA,SG,58,1130,0.353,21.2,0.218,0.099,0.056,0.028,0.036,0.782,0.418,0.68,0.214,0.286,0.111,0.335,0.609,0.97,0,0,0.289,0.263,0,0
2021-22,35,MIL,NBA,SG,49,1002,0.395,19.1,0.286,0.155,0.091,0.041,0,0.714,0.54,0.676,0.4,0.333,,0.338,0.647,0.981,0,0,0.382,0.367,0,0
2022-23,36,MIL,NBA,SF,52,820,0.363,21,0.225,0.106,0.056,0.05,0.013,0.775,0.528,0.706,0.333,0.5,0,0.315,0.842,0.974,0,0,0.339,0.238,0,0
