Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,POR,NBA,SG,73,894,0.382,10.8,0.79,0.382,0.194,0.078,0.136,0.21,0.447,0.542,0.283,0.5,0.381,0.138,0.633,1,0.071,22,0.415,0.333,4,0
2013-14,23,POR,NBA,SG,41,387,0.417,11.4,0.788,0.353,0.167,0.096,0.173,0.212,0.447,0.691,0.269,0.133,0.296,0.303,0.491,0.8,0.109,16,0.455,0.4,1,0
2014-15,24,TOT,NBA,SG,58,983,0.425,10.8,0.759,0.346,0.21,0.085,0.119,0.241,0.474,0.615,0.405,0.133,0.429,0.271,0.472,0.696,0.071,24,0.294,0.24,2,0
2014-15,24,POR,NBA,SG,30,300,0.38,10.1,0.82,0.4,0.17,0.11,0.14,0.18,0.415,0.625,0.294,0,0.286,0.222,0.588,0.25,0.08,8,0.444,0.25,1,0
2014-15,24,DEN,NBA,SG,28,683,0.443,11.1,0.735,0.324,0.225,0.075,0.111,0.265,0.5,0.61,0.439,0.211,0.5,0.284,0.43,0.789,0.067,16,0.254,0.235,1,0
2015-16,25,DEN,NBA,SG,82,2353,0.432,12.6,0.669,0.297,0.181,0.091,0.103,0.331,0.476,0.599,0.399,0.393,0.327,0.345,0.387,0.795,0.048,46,0.138,0.333,5,0
2016-17,26,DEN,NBA,SG,60,1705,0.443,13,0.647,0.303,0.174,0.095,0.077,0.353,0.483,0.579,0.379,0.46,0.353,0.37,0.346,0.724,0.029,17,0.136,0.281,1,0
2017-18,27,DEN,NBA,SG,81,2683,0.452,13.3,0.589,0.284,0.201,0.057,0.047,0.411,0.51,0.661,0.377,0.407,0.292,0.37,0.392,0.731,0.04,38,0.09,0.421,3,0
2018-19,28,DEN,NBA,SF,43,1189,0.402,15.1,0.574,0.215,0.187,0.093,0.078,0.426,0.447,0.596,0.349,0.395,0.333,0.342,0.458,0.791,0.015,6,0.122,0.375,2,0
2019-20,29,DEN,NBA,SF,58,1916,0.45,13.5,0.61,0.286,0.186,0.079,0.06,0.39,0.498,0.616,0.328,0.414,0.568,0.375,0.393,0.704,0.037,25,0.122,0.486,1,1
2020-21,30,DEN,NBA,SF,56,1736,0.426,14.5,0.577,0.227,0.211,0.072,0.067,0.423,0.459,0.63,0.297,0.455,0.39,0.381,0.484,0.745,0.035,19,0.183,0.489,1,0
2021-22,31,DEN,NBA,SG,71,2277,0.438,16,0.52,0.186,0.18,0.067,0.087,0.48,0.504,0.701,0.398,0.433,0.359,0.365,0.498,0.771,0.027,23,0.216,0.441,1,0
2022-23,32,TOT,NBA,SG,56,993,0.379,17.6,0.505,0.118,0.192,0.093,0.096,0.495,0.391,0.581,0.3,0.324,0.4,0.367,0.444,0.727,0.022,7,0.183,0.515,2,0
2022-23,32,WAS,NBA,SG,40,782,0.386,17.7,0.516,0.116,0.211,0.091,0.098,0.484,0.395,0.576,0.3,0.308,0.464,0.377,0.379,0.75,0.025,6,0.181,0.48,1,0
2022-23,32,TOR,NBA,SG,16,211,0.354,17,0.468,0.127,0.127,0.101,0.089,0.532,0.378,0.6,0.3,0.375,0.143,0.333,0.714,0.643,0.013,1,0.19,0.625,1,0
