Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,SAC,NBA,C,66,1412,0.563,3.7,0.994,0.602,0.271,0.065,0.056,0.006,0.567,0.667,0.457,0.364,0.263,0,0.759,,0.286,81,1,0,0,0
2016-17,23,SAC,NBA,C,75,1421,0.53,5.9,0.996,0.449,0.326,0.123,0.098,0.004,0.532,0.722,0.382,0.373,0.362,0,0.725,,0.187,80,0,,0,0
2017-18,24,SAC,NBA,C,73,2044,0.502,6.2,0.984,0.459,0.301,0.076,0.146,0.016,0.506,0.676,0.339,0.288,0.434,0.25,0.678,1,0.191,134,0.25,0.333,3,0
2018-19,25,SAC,NBA,C,81,2213,0.556,4.5,0.997,0.594,0.27,0.065,0.069,0.003,0.556,0.714,0.31,0.354,0.353,0.5,0.786,1,0.279,182,0,,1,0
2019-20,26,TOT,NBA,C,54,1097,0.579,5.4,0.997,0.56,0.238,0.093,0.106,0.003,0.581,0.787,0.389,0.286,0.188,0,0.789,,0.295,84,0,,0,0
2019-20,26,GSW,NBA,C,41,940,0.56,5.7,1,0.533,0.249,0.101,0.117,0,0.56,0.774,0.391,0.308,0.167,,0.764,,0.288,70,,,0,0
2019-20,26,DAL,NBA,C,13,157,0.689,4,0.978,0.711,0.178,0.044,0.044,0.022,0.705,0.844,0.375,0,0.5,0,0.903,,0.333,14,0,,0,0
2020-21,27,DAL,NBA,C,53,906,0.632,3.8,0.94,0.791,0.082,0.044,0.022,0.06,0.667,0.694,0.533,0.375,0.75,0.091,0.825,1,0.363,53,0.364,0,0,0
2021-22,28,TOT,NBA,C,20,183,0.457,5.3,0.943,0.629,0.2,0.057,0.057,0.057,0.455,0.545,0.143,1,0,0.5,0.8,1,0.257,7,0,,0,0
2021-22,28,DAL,NBA,C,18,177,0.457,5.3,0.943,0.629,0.2,0.057,0.057,0.057,0.455,0.545,0.143,1,0,0.5,0.8,1,0.257,7,0,,0,0
2021-22,28,PHI,NBA,C,2,6,,,,,,,,,,,,,,,,,,0,,,0,0
